Sno,Date,Open,High,Low,Close,Volume,SMA Open,SMA Close,RS,RSI
192,04-05-2021,3062.800049,3090,3035,3049.75,1990777,2919.842861,2899.828578,0.448739359,30.97447142
193,05-05-2021,3070,3099.399902,3052.399902,3095.699951,1939289,2909.042864,2895.950004,0.961071804,49.00747653
194,06-05-2021,3105.5,3134,3074,3111.449951,1791671,2902.592861,2887.146432,0.498834499,33.281493
195,07-05-2021,3133,3159.850098,3111.800049,3132.899902,1912540,2893.771432,2881.167864,0.67357097,40.24752951
196,10-05-2021,3145.949951,3164.199951,3125,3145.5,2137153,2891.200004,2879.103568,0.896409032,47.26875989
197,11-05-2021,3125,3128.100098,3091.149902,3122.600098,2415625,2885.553571,2879.171422,0.865337724,46.39040496
198,12-05-2021,3120,3120,3070.600098,3087.600098,1978558,2883.910714,2879.442854,0.818868209,45.02075549
199,14-05-2021,3098.5,3098.5,3040,3051.5,2043935,2884.982143,2877.878575,0.708615998,41.47309861
200,17-05-2021,3055,3075.199951,3036,3069.75,2890462,2884.728568,2874.357143,0.836879259,45.55984042
201,18-05-2021,3100,3124,3078,3088.800049,2098538,2881.085711,2869.910714,0.77305002,43.60001191
202,19-05-2021,3084,3118,3067.100098,3082,1986041,2877.517857,2867.389282,0.777542703,43.7425611
203,20-05-2021,3067.100098,3088.800049,3052.100098,3060,2329027,2873.11785,2865.014282,0.72702589,42.09698848
204,21-05-2021,3061,3088.199951,3055.100098,3080.5,1685566,2870.839286,2866.753575,1.365228665,57.72078976
205,24-05-2021,3081.5,3105,3072,3081.5,1652260,2873.417864,2869.860718,1.362377705,57.66976645
206,25-05-2021,3092,3128.25,3082.100098,3114,1841613,2874.753575,2872.128575,1.52320826,60.36791668
207,26-05-2021,3120,3165,3103.800049,3158.5,1923753,2876.325004,2873.435721,1.511400846,60.18158545
208,27-05-2021,3161.949951,3217.75,3161.800049,3180,5959785,2877.360718,2876.796439,1.558224932,60.91039582
209,28-05-2021,3189.5,3198,3135.649902,3143.600098,1763701,2879.428571,2880.160732,1.067212307,51.62567499
210,31-05-2021,3150,3170.350098,3128.600098,3159.149902,1652799,2882.539289,2880.025025,1.085740617,52.0553998
211,01-06-2021,3168.600098,3169.949951,3132,3153,1377441,2884.325004,2882.635725,1.213407599,54.82079304
212,02-06-2021,3150.850098,3159.449951,3115,3129.449951,2240078,2887.796439,2887.307146,1.319464527,56.88660083
213,03-06-2021,3154.550049,3154.550049,3122.649902,3141.25,1281706,2891.535732,2892.875,1.945733327,66.05259577
214,04-06-2021,3128,3156.850098,3125,3143.75,1836060,2898.64645,2897.982143,1.779768982,64.02578752
215,07-06-2021,3145,3190.449951,3133.600098,3183.199951,2559821,2900.64645,2901.907139,1.994731291,66.60802246
216,08-06-2021,3198,3231,3187.199951,3200.149902,2574057,2905.003592,2909.135707,2.341090796,70.06965506
217,09-06-2021,3202,3220,3186.199951,3200.25,1710925,2914.353585,2919.146415,3.121789893,75.73869542
218,10-06-2021,3210,3224,3193,3216.800049,1874324,2924.425014,2927.699986,3.062032558,75.38178275
219,11-06-2021,3211.550049,3309,3211,3273.800049,3452954,2933.603585,2937.364275,3.909235653,79.63023023
220,14-06-2021,3279,3308.699951,3270.350098,3276.350098,1847360,2942.142875,2948.778564,3.456134025,77.55902326
221,15-06-2021,3298,3298,3251.550049,3262.75,1304985,2953.500018,2957.196429,2.308030917,69.77053646
222,16-06-2021,3262.100098,3294.699951,3253,3274.350098,1635552,2963.217878,2963.107143,2.183816262,68.59115232
223,17-06-2021,3265.5,3336.050049,3260,3317.75,2273413,2968.403599,2972.446429,5.02193314,83.39403682
224,18-06-2021,3350.899902,3358,3275,3297.300049,3380431,2976.653599,2983.775007,3.167061129,76.00227189
225,21-06-2021,3265,3286,3251.699951,3273.100098,1130569,2989.675014,2994.082153,2.468215477,71.16672806
226,22-06-2021,3304,3327.050049,3285,3301.199951,1708688,2997.828578,3004.342878,3.948497853,79.79184735
227,23-06-2021,3329,3329,3256.399902,3261.399902,1467104,3008.503575,3015.767875,2.225393595,68.99603194
228,24-06-2021,3284,3383,3278.5,3373.600098,4155204,3022.860718,3024.171439,3.344211965,76.98086539
229,25-06-2021,3375.25,3399.649902,3350,3380.800049,2722861,3032.789289,3037.77145,3.015298309,75.09525014
230,28-06-2021,3391.5,3391.5,3333,3336.75,1355238,3045.450004,3050.675032,1.96129489,66.2309889
231,29-06-2021,3342,3366.300049,3326.5,3340.850098,1497322,3058.985718,3060.425032,1.989444061,66.5489643
232,30-06-2021,3346,3382,3338.5,3345.75,1693146,3068.414289,3069.285749,1.907458565,65.60570073
233,01-07-2021,3358,3362,3332.350098,3341.5,990310,3078.017857,3074.425032,1.462589037,59.39233121
234,02-07-2021,3331,3339.699951,3295.199951,3325.449951,1682274,3083.660714,3079.078596,1.302338723,56.56590448
235,05-07-2021,3342,3374,3302,3321,1972858,3086.017857,3083.557164,1.380097879,57.98492118
236,06-07-2021,3313,3328,3256.100098,3262.300049,2159420,3091.724993,3086.8893,0.943146724,48.53708227
237,07-07-2021,3275,3282.699951,3241.600098,3274.949951,2640710,3095.11785,3082.928589,0.798065304,44.38466734
238,08-07-2021,3298,3298,3231.899902,3258.5,2485811,3089.696429,3081.332153,0.813416407,44.8554675
239,09-07-2021,3250,3282,3201,3208.149902,6365067,3092.053571,3080.289289,0.722553743,41.9466589
240,12-07-2021,3235,3236,3188.350098,3193.100098,1892226,3088.196429,3073.642857,0.566125244,36.14814626
241,13-07-2021,3214,3214,3175,3187.550049,1809339,3081.482143,3068.7643,0.656352319,39.62637124
242,14-07-2021,3187,3222,3185,3214.550049,2044279,3076.482143,3055.475011,0.259887755,20.62784988
243,15-07-2021,3227.600098,3231.850098,3194,3202.949951,2232968,3063.035714,3043.600011,0.214789854,17.68123545
244,16-07-2021,3213,3219.850098,3192,3194.800049,1256526,3051.328578,3034.042864,0.255246272,20.33435813
245,19-07-2021,3180,3199.800049,3176,3184.600098,1597058,3042.114293,3023.610718,0.22186179,18.15768297
246,20-07-2021,3184.600098,3215,3156.149902,3205.800049,1811945,3030.25715,3012.100011,0.303037412,23.25623267
247,22-07-2021,3190,3224.949951,3190,3216.350098,2859334,3017.871443,3002.407157,0.363266208,26.64675512
248,23-07-2021,3230,3241.550049,3206.649902,3212.850098,1776193,3007.800014,2994.61431,0.388043462,27.95614639
